Q-learning,SARSA
-159078,-52867
-8641,-68611
-23978,-63992
-25522,-23961
-64420,-28555
-60715,-1444
-38874,-18476
-19798,-2252
-13586,-12366
-25923,-830
-4399,-140
-9810,-14363
-2296,-1683
-14861,-6184
-7956,-9420
-864,-11289
-10254,-1505
-4167,-3691
-9928,-7340
-1041,-835
-7989,-851
-4136,-1774
-386,-2652
-26533,-1967
-3444,-2396
-3094,-804
-263,-1114
-3538,-8351
-2265,-790
-4298,-391
-1928,-3429
-6464,-356
-1890,-5053
-3581,-4696
-1876,-2449
-271,-2424
-1887,-232
-1665,-2380
-1507,-911
-434,-2351
-149,-319
-41,-2224
-350,-4019
-56,-2014
-1999,-5436
-2981,-656
-834,-103
-350,-778
-32,-265
-355,-2892
-1151,-961
-1178,-687
-44,-266
-1132,-2999
-2107,-2072
-158,-875
-1790,-836
-250,-3740
-358,-433
-447,-1427
-29,-2577
-394,-2127
-650,-1126
-37,-783
-483,-1919
-434,-6305
-151,-10259
-1365,-11328
-545,-1320
-911,-449
-772,-79
-932,-2363
-147,-11050
-731,-1332
-38,-5061
-245,-2690
-239,-14302
-468,-8322
-17,-5151
-443,-725
-22,-7930
-230,-6735
-140,-1371
-866,-619
-350,-6395
-384,-2620
-351,-4230
-137,-1205
-1336,-1436
-30,-1604
-231,-3905
-1641,-15515
-431,-5125
-144,-4579
-543,-5492
-132,-12065
-21,-3048
-346,-690
-134,-1056
-340,-5381
-23,-4019
-14,-11759
-552,-8911
-231,-7851
-585,-1000
-457,-12557
-777,-2206
-142,-142
-19,-11226
-23,-3992
-126,-19877
-227,-1230
-345,-72245
-118,-78665
-17,-50223
-135,-2525
-241,-228
-26,-6256
-450,-36691
-1227,-9159
-450,-197
-146,-15983
-136,-11326
-23,-3067
-15,-24970
-130,-5938
-231,-27538
-687,-35858
-232,-14287
-21,-69340
-123,-7449
-122,-7596
-130,-28568
-344,-10258
-1004,-41062
-120,-85917
-17,-8451
-20,-34985
-126,-31338
-20,-2859
-14,-8494
-240,-383424
